Player,Club,Goals,Assists
Lamine Yamal,Barcelona,9,13
Raphinha,Barcelona,18,9
Lewandowski,Barcelona,27,2
Vinicius Jr,Real Madrid,11,8
Mbappe,Real Madrid,31,3
Bellingham,Real Madrid,9,8
